n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
2,1000,1,1.041643044,5.00E-37,1.322866342,0.000219799,0.380967075,6.85E-36,69.86
2,1000,2,1.050097403,2.84E-40,1.396117549,0.00059864,0.354798145,4.93E-31,71.88
2,1000,3,1.035043496,1.85E-43,1.864681987,5.88E-06,0.360349632,5.01E-32,60.81
2,1000,4,1.040041591,3.97E-36,1.38434587,1.39E-05,0.341662483,9.23E-29,76.15
2,1000,5,1.066499242,4.79E-42,1.325334104,2.17E-05,0.356278005,2.69E-31,82.16
2,1000,6,1.024287605,1.34E-32,1.265391448,0.001468665,0.343542044,4.43E-29,97.66
2,1000,7,1.024753001,1.33E-48,1.664104897,2.30E-06,0.35954303,7.00E-32,66.59
2,1000,8,1.020994551,4.85E-48,1.658605532,2.64E-05,0.314303904,2.29E-24,69.34
2,1000,9,1.124321121,2.31E-39,1.718037171,4.64E-05,0.333438042,2.16E-27,71.04
2,1000,10,1.004064704,1.05E-39,1.535701456,0.000858854,0.305880393,4.21E-23,74.57
2,1000,11,1.050825676,2.26E-35,0.833417306,0.056804017,0.320191349,2.83E-25,75.53
2,1000,12,1.042826665,4.49E-36,1.89459276,0.000218193,0.381048261,6.60E-36,65.39
2,1000,13,1.040178326,7.22E-41,1.279236844,0.000875573,0.328630407,1.30E-26,74.25
2,1000,14,1.040830934,1.14E-37,1.373576269,0.000786536,0.364288765,9.62E-33,62.75
2,1000,15,1.061892975,5.78E-40,2.194904626,8.98E-06,0.384741662,1.25E-36,77.06
2,1000,16,0.996454005,7.05E-37,1.49049408,0.000281353,0.348908889,5.31E-30,69.53
2,1000,17,1.050959289,5.15E-41,1.24903965,0.001611787,0.360227967,5.27E-32,77.94
2,1000,18,1.036917178,2.04E-41,1.448096657,0.000401255,0.338857269,2.73E-28,62.64
2,1000,19,1.015603775,9.58E-37,0.901470646,0.016204373,0.324573843,5.79E-26,66.46
2,1000,20,1.016961549,1.99E-37,1.252260133,1.24E-05,0.363963641,1.10E-32,71.14
2,1000,21,1.036333479,5.05E-36,1.720771503,3.04E-06,0.357757494,1.47E-31,74.23
2,1000,22,1.048332377,2.97E-42,1.144187097,0.003144919,0.345458532,2.09E-29,80.31
2,1000,23,1.028075723,2.78E-37,1.460372112,0.000186532,0.311213797,6.74E-24,73.35
2,1000,24,1.027997595,2.54E-41,1.807115931,0.000199018,0.33366275,1.98E-27,81.89
2,1000,25,1.082134761,1.96E-41,1.351299311,0.000583026,0.314828645,1.90E-24,64.56
2,1000,26,1.023350709,3.91E-39,1.362265217,9.89E-05,0.368963052,1.32E-33,73.86
2,1000,27,1.026622968,3.74E-35,1.556534206,4.67E-06,0.322643226,1.17E-25,70.45
2,1000,28,1.022936227,3.87E-38,1.6394035,1.60E-05,0.370254038,7.56E-34,70.96
2,1000,29,1.060586633,2.62E-33,1.257395137,0.002489266,0.323535346,8.45E-26,72.95
2,1000,30,1.019859192,3.03E-35,1.021645362,0.001201149,0.319561837,3.55E-25,69.47
2,1000,31,1.030676767,1.39E-36,1.363320659,0.0027539,0.34782375,8.18E-30,70.56
2,1000,32,1.098229785,1.27E-35,1.0895564,0.020370657,0.343008101,5.46E-29,62.95
2,1000,33,1.034265493,2.09E-34,1.184465076,0.008388827,0.340558441,1.42E-28,70.18
2,1000,34,1.04163242,1.24E-35,1.267294625,0.021759682,0.333004884,2.54E-27,66.51
2,1000,35,1.025608166,1.51E-39,1.436367671,0.000592792,0.330179204,7.32E-27,67.58
2,1000,36,1.024263714,3.23E-44,1.178172786,0.003009855,0.367555344,2.40E-33,75.14
2,1000,37,1.036203093,1.67E-37,1.627778054,0.000227376,0.37091814,5.67E-34,64.03
2,1000,38,1.068309179,1.30E-35,1.487269295,0.001651135,0.354347459,5.92E-31,77.84
2,1000,39,1.03595824,4.25E-35,1.852149403,0.000264464,0.331608716,4.29E-27,61.33
2,1000,40,1.057564355,6.00E-37,1.28259585,0.000212869,0.356948403,2.04E-31,70.44
2,1000,41,1.052778401,3.61E-44,1.378686454,0.000342832,0.343294262,4.88E-29,80.83
2,1000,42,1.012046051,3.22E-47,1.605970543,0.00014485,0.323439901,8.75E-26,70.34
2,1000,43,1.039093245,2.30E-37,1.527212377,0.000929476,0.375854526,6.61E-35,70.89
2,1000,44,1.026490618,6.07E-42,1.390157451,0.000140112,0.372165776,3.31E-34,75.05
2,1000,45,1.039231976,2.19E-39,1.281784006,0.008600141,0.352526757,1.24E-30,67.33
2,1000,46,1.042655658,2.05E-42,1.412765412,0.000694128,0.351588987,1.81E-30,67.33
2,1000,47,1.028692273,8.76E-39,1.50706618,0.000699173,0.34782305,8.18E-30,62.84
2,1000,48,1.043415135,1.58E-43,1.567449213,3.54E-05,0.346787287,1.23E-29,77.83
2,1000,49,1.030488925,1.35E-43,0.929706545,0.009523015,0.356440757,2.52E-31,74.79
2,1000,50,1.01979666,5.57E-37,1.36771702,0.000165475,0.295373213,1.39E-21,77.75
2,2000,1,1.052899499,9.61E-37,1.642148226,0.002345888,0.353452523,8.52E-31,89.18
2,2000,2,1.035009682,3.93E-42,1.32497187,0.000364696,0.359744358,6.44E-32,86.32
2,2000,3,1.03758348,2.19E-39,1.939752806,2.81E-07,0.336802237,6.01E-28,75.29
2,2000,4,1.0603341,1.31E-36,1.668875616,4.42E-07,0.367000757,3.05E-33,99.87
2,2000,5,1.061890392,1.03E-38,1.465468827,2.30E-06,0.345355683,2.17E-29,97.67
2,2000,6,1.047303232,6.44E-41,1.667084593,1.55E-05,0.353153941,9.62E-31,108.85
2,2000,7,1.025647781,2.86E-47,1.267089534,0.000794771,0.354319467,5.99E-31,76.84
2,2000,8,1.026969125,2.76E-41,1.675492268,1.90E-06,0.326080688,3.34E-26,78.83
2,2000,9,1.122497667,8.13E-40,1.562186604,0.000125895,0.329437933,9.65E-27,80.22
2,2000,10,1.010599898,1.30E-37,1.403842054,0.000110583,0.336859347,5.88E-28,96.48
2,2000,11,1.033528711,1.87E-40,1.652277624,0.00010255,0.334933602,1.22E-27,91.78
2,2000,12,1.038131087,9.14E-41,1.390242881,0.008706227,0.358692332,9.96E-32,83.36
2,2000,13,1.035635301,8.39E-41,1.588977195,6.25E-06,0.373273582,2.04E-34,97.41
2,2000,14,1.035267554,1.99E-37,1.514583858,1.60E-06,0.356966064,2.03E-31,83.75
2,2000,15,1.033605035,3.03E-42,1.531496794,0.000811717,0.380908843,7.03E-36,100.23
2,2000,16,1.020216325,1.56E-40,1.650152346,0.000121778,0.360905025,3.97E-32,90.66
2,2000,17,1.051420906,1.42E-40,1.307518067,0.011993099,0.384770708,1.23E-36,93.42
2,2000,18,1.046468188,2.06E-39,1.609702412,2.46E-06,0.337592613,4.44E-28,71.08
2,2000,19,1.040344837,1.91E-35,1.490257565,0.002647107,0.380634041,7.95E-36,79.11
2,2000,20,1.017828613,8.18E-39,1.468878675,2.18E-05,0.330925963,5.54E-27,79.7
2,2000,21,1.037733876,1.05E-36,1.484632754,3.15E-05,0.360286635,5.14E-32,85.36
2,2000,22,1.045572136,3.55E-40,1.576688531,0.000184642,0.376235634,5.59E-35,104.27
2,2000,23,1.042714597,3.31E-36,1.669778664,5.37E-05,0.327240418,2.18E-26,87.39
2,2000,24,1.048598,2.27E-42,1.272497423,0.002992523,0.37537452,8.16E-35,109.01
2,2000,25,1.029761162,1.41E-36,1.505661062,0.001431586,0.371973234,3.59E-34,78.94
2,2000,26,1.013269942,2.01E-39,1.518677998,0.001774209,0.400315982,8.87E-40,98.55
